"lag","cost","nu","gamma","corr_pred"
1,4096,0.4,128,0.0274568919672799
2,4096,0.4,128,0.0274568919672799
3,4096,0.4,128,0.0274568919672799
4,4096,0.4,128,0.0274568919672799
5,4096,0.4,128,0.0274568919672799
1,4096,0.6,128,0.0293227570158171
2,4096,0.6,128,0.0293227570158171
3,4096,0.6,128,0.0293227570158171
4,4096,0.6,128,0.0293227570158171
5,4096,0.6,128,0.0293227570158171
1,4096,0.9,128,0.0293298608176227
2,4096,0.9,128,0.0293298608176227
3,4096,0.9,128,0.0293298608176227
4,4096,0.9,128,0.0293298608176227
5,4096,0.9,128,0.0293298608176227
1,4096,0.7,128,0.0293526605564072
2,4096,0.7,128,0.0293526605564072
3,4096,0.7,128,0.0293526605564072
4,4096,0.7,128,0.0293526605564072
5,4096,0.7,128,0.0293526605564072
1,4096,0.5,128,0.0293561022284355
2,4096,0.5,128,0.0293561022284355
3,4096,0.5,128,0.0293561022284355
4,4096,0.5,128,0.0293561022284355
5,4096,0.5,128,0.0293561022284355
1,4096,0.8,128,0.0293604701028747
2,4096,0.8,128,0.0293604701028747
3,4096,0.8,128,0.0293604701028747
4,4096,0.8,128,0.0293604701028747
5,4096,0.8,128,0.0293604701028747
1,4096,0.3,128,0.0518209413065717
2,4096,0.3,128,0.0518209413065717
3,4096,0.3,128,0.0518209413065717
4,4096,0.3,128,0.0518209413065717
5,4096,0.3,128,0.0518209413065717
1,2048,0.6,128,0.0520258389011763
2,2048,0.6,128,0.0520258389011763
3,2048,0.6,128,0.0520258389011763
4,2048,0.6,128,0.0520258389011763
5,2048,0.6,128,0.0520258389011763
1,2048,0.9,128,0.052054146892599
2,2048,0.9,128,0.052054146892599
3,2048,0.9,128,0.052054146892599
4,2048,0.9,128,0.052054146892599
5,2048,0.9,128,0.052054146892599
1,2048,0.8,128,0.0520587660129131
2,2048,0.8,128,0.0520587660129131
3,2048,0.8,128,0.0520587660129131
4,2048,0.8,128,0.0520587660129131
5,2048,0.8,128,0.0520587660129131
1,2048,0.5,128,0.0520671848105024
2,2048,0.5,128,0.0520671848105024
3,2048,0.5,128,0.0520671848105024
4,2048,0.5,128,0.0520671848105024
5,2048,0.5,128,0.0520671848105024
1,2048,0.7,128,0.0520819238557561
2,2048,0.7,128,0.0520819238557561
3,2048,0.7,128,0.0520819238557561
4,2048,0.7,128,0.0520819238557561
5,2048,0.7,128,0.0520819238557561
1,2048,0.4,128,0.0596239987797065
2,2048,0.4,128,0.0596239987797065
3,2048,0.4,128,0.0596239987797065
4,2048,0.4,128,0.0596239987797065
