"lag","cost","nu","gamma","corr_pred"
1,4096,0.9,256,0.104902317699457
2,4096,0.9,256,0.104902317699457
3,4096,0.9,256,0.104902317699457
4,4096,0.9,256,0.104902317699457
5,4096,0.9,256,0.104902317699457
1,4096,0.8,256,0.104914214741885
2,4096,0.8,256,0.104914214741885
3,4096,0.8,256,0.104914214741885
4,4096,0.8,256,0.104914214741885
5,4096,0.8,256,0.104914214741885
1,4096,0.4,256,0.104951245147535
2,4096,0.4,256,0.104951245147535
3,4096,0.4,256,0.104951245147535
4,4096,0.4,256,0.104951245147535
5,4096,0.4,256,0.104951245147535
1,4096,0.3,256,0.10496965287417
2,4096,0.3,256,0.10496965287417
3,4096,0.3,256,0.10496965287417
4,4096,0.3,256,0.10496965287417
5,4096,0.3,256,0.10496965287417
1,4096,0.5,256,0.104970164601098
2,4096,0.5,256,0.104970164601098
3,4096,0.5,256,0.104970164601098
4,4096,0.5,256,0.104970164601098
5,4096,0.5,256,0.104970164601098
1,4096,0.2,256,0.10497472851878
2,4096,0.2,256,0.10497472851878
3,4096,0.2,256,0.10497472851878
4,4096,0.2,256,0.10497472851878
5,4096,0.2,256,0.10497472851878
1,4096,0.7,256,0.104997587919914
2,4096,0.7,256,0.104997587919914
3,4096,0.7,256,0.104997587919914
4,4096,0.7,256,0.104997587919914
5,4096,0.7,256,0.104997587919914
1,4096,0.6,256,0.105008878027851
2,4096,0.6,256,0.105008878027851
3,4096,0.6,256,0.105008878027851
4,4096,0.6,256,0.105008878027851
5,4096,0.6,256,0.105008878027851
1,4096,0.9,512,0.124040886456364
2,4096,0.9,512,0.124040886456364
3,4096,0.9,512,0.124040886456364
4,4096,0.9,512,0.124040886456364
5,4096,0.9,512,0.124040886456364
1,4096,0.7,512,0.124045954811111
2,4096,0.7,512,0.124045954811111
3,4096,0.7,512,0.124045954811111
4,4096,0.7,512,0.124045954811111
5,4096,0.7,512,0.124045954811111
1,4096,0.8,512,0.124050325524221
2,4096,0.8,512,0.124050325524221
3,4096,0.8,512,0.124050325524221
4,4096,0.8,512,0.124050325524221
5,4096,0.8,512,0.124050325524221
1,4096,0.6,512,0.124073617920609
2,4096,0.6,512,0.124073617920609
3,4096,0.6,512,0.124073617920609
4,4096,0.6,512,0.124073617920609
5,4096,0.6,512,0.124073617920609
1,4096,0.5,512,0.124077426710068
2,4096,0.5,512,0.124077426710068
3,4096,0.5,512,0.124077426710068
4,4096,0.5,512,0.124077426710068
5,4096,0.5,512,0.124077426710068
1,4096,0.4,512,0.124081328018408
2,4096,0.4,512,0.124081328018408
3,4096,0.4,512,0.124081328018408
4,4096,0.4,512,0.124081328018408
5,4096,0.4,512,0.124081328018408
1,4096,0.3,512,0.124086544757611
2,4096,0.3,512,0.124086544757611
3,4096,0.3,512,0.124086544757611
4,4096,0.3,512,0.124086544757611
